이름,업종,전화번호,주소,평점,휴일
성산진미식당  ,한식-해물요리,(064) 783-2283,제주 서귀포시 성산읍 성산리 204,4.1,연중무휴
백양닭집  ,패스트푸드-치킨,(064) 758-9822,제주 제주시 용담일동 157-6,3.4,연중무휴
미나리식당  ,한식,(064) 744-3625,제주 제주시 연동 291-24,4.0,주말휴무
해맞이쉼터  ,한식-해물요리,(064) 782-7875,제주 제주시 구좌읍 평대리 2033-19,4.0,매주 수요일
찜(ZZIM)  ,한식-갈비,(064) 738-3793,제주 서귀포시 법환동 736-3,4.0,매주 수요일
중문비치카오카오뷔페  ,양식-기타,1544-2998,제주 서귀포시 색달동 2950-5,3.2,연중무휴
스시호시카이  ,일식-생선회,(064) 713-8838,제주 제주시 오라이동 959-1,3.8,연중무휴
연우네  ,한식-한정식,(064) 712-5646,제주 제주시 노형동 139-2,4.3,명절
제주소드래  ,한식-한정식,(064) 726-0083,제주 제주시 이도이동 314-4,2.2,"명절, 격주 월요일"
동성식당  ,한식-생고기/등심,(064) 733-6874,제주 서귀포시 토평동 1290,3.5,비정기적
봉금펍(BONGGUEM PUB)  ,카페/주점-주점,(070) 4212-5766,제주 서귀포시 서호동 1470-4,3.8,연중무휴
앞바당  ,한식-해물요리,(064) 732-9310,제주 서귀포시 보목동 590-5,4.1,매주 월요일
수현곱배기국수  ,한식-국수전문,(064) 749-2515,제주 제주시 연동 314-3,4.3,연중무휴
소자38  ,카페/주점-카페,(070) 8882-9433,제주 서귀포시 안덕면 사계리 2071-1,4.3,매주 화요일
더라운지(켄싱턴제주호텔)  ,카페/주점-카페,(064) 735-8906,제주 서귀포시 색달동 2785,3.8,연중무휴
마마롱(ma marron)  ,베이커리,(064) 747-1074,제주 제주시 애월읍 광령리 1011-7,3.9,월요일휴무
닐모리동동  ,양식-패밀리레스토랑,(064) 745-5008,제주 제주시 용담삼동 2396,3.9,명절
테라스카페  ,양식-패밀리레스토랑,(064) 735-1234,제주 서귀포시 색달동 3039-1,4.0,연중무휴
다가미  ,분식,(064) 758-5810,제주 제주시 도남동 68-2,4.0,일요일휴무
제라진흑돼지  ,한식-삼겹살,(064) 738-5420,제주 서귀포시 중문동 1918-4,4.0,"첫째, 셋째 일요일"
행복한족발  ,한식-족발/보쌈,(064) 753-0978,제주 제주시 이도이동 1187-12,4.0,연중무휴
흑소랑  ,한식,(064) 726-9966,제주 제주시 아라이동 3007-2,3.8,연중무휴
몬스터살롱  ,카페/주점-카페,(064) 799-5310,제주 제주시 애월읍 곽지리 1669-1,4.0,매주 월요일
소라네집  ,한식-해물요리,(064) 782-2771,제주 서귀포시 성산읍 온평리 661-1,4.1,연중무휴
솔지식당 시청점  ,한식-일반한식,(064) 725-2929,제주 제주시 이도이동 1182-24,4.1,일요일휴무
디오션(제주오션팰리스호텔)  ,호텔뷔페,(064) 730-5850,제주 서귀포시 서귀동 494,4.1,연중무휴
모살물  ,일식-생선회(활어회전문),(064) 713-0309,제주 제주시 연동 291-10,3.6,연중무휴
하하호호(HAHAHOHO)  ,카페/주점-카페,(010) 2899-1365,제주 제주시 우도면 연평리 859,4.2,연중무휴
삼보식당  ,한식-일반한식,(064) 762-3620,제주 서귀포시 서귀동 319-8,3.1,연중무휴
테온(제주디아일랜드마리나)  ,호텔뷔페,(064) 766-5052,제주 서귀포시 서귀동 544-2,3.8,연중무휴
달자카페  ,카페/주점-카페,(064) 744-8877,제주 제주시 애월읍 구엄리 545,4.1,연중무휴
제대가는길  ,카페/주점-카페,(064) 721-0110,제주 제주시 아라일동 358-6,4.0,명절
혁이네수산  ,한식-해물요리,(064) 733-5067,제주 서귀포시 동홍동 147,3.6,연중무휴
행복한시저네  ,한식-일반한식,(070) 8877-0755,제주 서귀포시 호근동 1831-6,4.1,주말/공휴일휴무
와랑와랑  ,카페/주점-카페,(070) 4656-1761,제주 서귀포시 남원읍 위미리 875-1,3.8,매주 월요일
미풍해장국  ,한식-일반한식,(064) 726-1245,제주 제주시 이도이동 76-10,4.0,셋째주 월요일
더테라스(켄싱턴제주호텔)  ,카페/주점-카페,(064) 735-8904,제주 서귀포시 색달동 2785,3.8,연중무휴
하르방밀면 본점  ,한식-국수전문,(064) 794-5000,제주 서귀포시 대정읍 상모리 3858-6,3.6,명절
비원  ,한식-닭/오리요리,(064) 712-8899,제주 제주시 노형동 100,3.2,명절
불돈  ,한식-삼겹살,(064) 732-8522,제주 서귀포시 서귀동 271-8,4.1,"첫째, 셋째 화요일"
몽키비치(MONKEY BEACH)  ,카페/주점-주점,(011) 748-7930,제주 서귀포시 색달동 2822-2,4.2,연중무휴
대금식당  ,한식,(064) 796-7751,제주 제주시 한림읍 옹포리 586-2,4.3,매주 수
까미노(Camino)  ,카페/주점-카페,(064) 799-9789,제주 제주시 애월읍 하가리 1400,4.0,명절
보영반점  ,중식-일반,(064) 796-2042,제주 제주시 한림읍 한림리 1305-16,4.0,연중무휴
한림칼국수  ,한식,(070) 8900-3339,제주 제주시 한림읍 한림리 1328-15,4.0,일요일
복도새기  ,한식,(064) 711-2330,제주 제주시 애월읍 신엄리 1231-1,3.6,연중무휴
태백산 본점  ,한식-생고기/등심,(064) 747-6691,제주 제주시 아라이동 3011-20,3.8,명절
해모둠  ,일식-생선회,(064) 758-6400,제주 제주시 이도이동 408-15,4.3,-
돈사촌 외도점  ,한식-삼겹살,(064) 743-0034,제주 제주시 외도일동 125-8,3.8,연중무휴
포도원흑돼지  ,한식-삼겹살,(064) 745-0880,제주 제주시 노형동 124-1,3.9,연중무휴
바당올레 대정읍점  ,한식-해물요리,(064) 794-8558,제주 서귀포시 대정읍 하모리 2138-2,4.5,"둘째, 넷째 수요일"
고불락  ,한식-일반한식,(064) 799-0393,제주 제주시 애월읍 고내리 1164-1,3.6,명절
월척  ,일식-생선회,(064) 721-6308,제주 제주시 용담일동 386,4.0,연중무휴
부촌  ,한식-일반한식,(064) 784-0149,제주 서귀포시 성산읍 고성리 2747-7,3.8,연중무휴
막창먹는놈  ,한식-삼겹살,(064) 783-2133,제주 서귀포시 성산읍 고성리 1194-4,4.0,연중무휴
사대천황  ,한식-일반한식,(064) 758-5585,제주 제주시 이도이동 1771-5,4.0,연중무휴
빨간머리앤의집  ,카페/주점-카페,(064) 784-2171,제주 제주시 우도면 연평리 2512-5,4.0,비정기적 휴무
더돈(The돈)  ,한식-삼겹살,(064) 743-3334,제주 제주시 애월읍 신엄리 989-2,3.9,연중무휴
영주말가든  ,한식-생고기/등심,(064) 748-4343,제주 제주시 오라이동 3176,4.1,연중무휴
동성수산횟집  ,한식,(064) 794-7034,제주 서귀포시 대정읍 하모리 2133-1,4.0,연중무휴
고객식당  ,한식-해물요리,(064) 727-3002,제주 제주시 이도일동 1436-7,4.1,휴무불규칙
토계정  ,한식-샤브샤브,(064) 783-6255,제주 제주시 조천읍 교래리 524,3.2,"둘째, 넷째주 월요일"
달비치카페  ,카페/주점-카페,(064) 0000-0000,제주 제주시 구좌읍 월정리 13,4.4,연중무휴
탐라흑돼지  ,한식-삼겹살,(064) 784-3678,제주 서귀포시 성산읍 성산리 218-14,3.5,부정기적
오조해녀의집  ,한식-해물요리,(064) 784-7789,제주 서귀포시 성산읍 오조리 3,3.6,연중무휴
푸주옥  ,한식-일반한식,(064) 727-8888,제주 제주시 오라일동 1014-3,4.0,연중무휴
감초식당  ,한식,(064) 753-7462,제주 제주시 이도일동 1289-5,4.0,"1,3주일요일휴무"
큰갯물횟집  ,일식-생선회,(064) 738-1625,제주 서귀포시 대포동 2070 큰갯물횟집,3.6,연중무휴
복여네왕돈까스  ,일식-돈까스전문,(064) 783-0203,제주 제주시 우도면 연평리 880-2,4.1,연중무휴
탐라바당  ,한식-해물요리,(064) 747-3727,제주 제주시 용담삼동 1026-9,4.0,연중무휴
빵굽는카페라블   ,카페/주점-카페,(064) 783-0476,제주 제주시 구좌읍 월정리 27-2,2.9,연중무휴
산적  ,한식-삼겹살,(064) 722-8384,제주 제주시 이도이동 1188-2,3.7,연중무휴
이노우에스시  ,일식-생선회,(064) 712-6678,제주 제주시 연동 1413-7,3.6,매주 일요일
제주마당  ,한식-해물요리,(064) 749-5501,제주 제주시 노형동 914-2,3.7,연중무휴
화진전복  ,한식(전복요리전문점),(064) 752-2280,제주 제주시 삼도이동 1201,3.9,없음
돌미롱(켄싱턴제주호텔)  ,한식-일반한식,(064) 735-8902,제주 서귀포시 색달동 2785,4.0,연중무휴
카페봄날  ,카페/주점-카페,(064) 799-4999,제주 제주시 애월읍 애월리 2540,2.6,명절
덕승식당  ,한식-해물요리,(064) 794-0177,제주 서귀포시 대정읍 하모리 770-3,4.0,첫째주 화요일
숲커피플라워 제주  ,카페/주점-카페,(064) 739-2046,제주 서귀포시 강정동 167-7 1층,3.9,연중무휴
이서진쿡디자인  ,기타/세계-퓨전푸드,(064) 711-3777,제주 제주시 애월읍 애월리 2155-1,4.0,매주 월요일
복자씨연탄구이  ,한식-삼겹살,(064) 782-7330,제주 서귀포시 성산읍 오조리 367-1,3.4,연중무휴
보목해녀의집  ,한식-기타,(064) 732-3959,제주 서귀포시 보목동 566-3 보목어촌체험안내센터,3.5,연중무휴
맛나식당  ,한식-해물요리,(064) 782-4771,제주 서귀포시 성산읍 고성리 316-9,4.0,연중무휴
성산포바다향  ,한식-해물요리,(064) 783-8005,제주 서귀포시 성산읍 성산리 358-3,3.9,연중무휴
복자씨연탄구이  ,한식-삼겹살,(064) 782-7330,제주 서귀포시 성산읍 오조리 367-1,3.3,연중무휴
제주어멍통갈치  ,한식-해물요리,(064) 744-2882,제주 제주시 용담삼동 2576-3,4.1,연중무휴
돌집식당  ,한식,(064) 787-3720,제주 서귀포시 표선면 성읍리 1624-3,3.8,명절 당일
풍차라운지(롯데호텔제주)  ,카페/주점-바,(064) 731-4261,제주 서귀포시 색달동 2812-4,3.9,연중무휴
춘심이네 2호점  ,한식-해물요리,(064) 711-4020,제주 제주시 노형동 158-1,3.9,연중무휴
만선식당  ,한식-해물요리,(064) 794-6300,제주 서귀포시 대정읍 하모리 770-50,4.0,연중무휴
김해횟집  ,일식-생선회,(064) 711-1318,제주 제주시 용담삼동 505,4.2,연중무휴
88돼지  ,한식,(064) 711-9947,제주 제주시 연동 261-10,4.0,연중무휴
한울(제주항공우주호텔)  ,호텔뷔페,(064) 747-4900,제주 서귀포시 안덕면 서광리 산41,3.8,연중무휴
춤추는오병장의돼지꿈  ,한식-찌개전문,(064) 724-0092,제주 제주시 삼양삼동 2506-3,3.9,매주 수요일
메밀애  ,한식-국수전문,(064) 739-3787,제주 서귀포시 강정동 851-1,3.8,연중무휴
블리케이크(blee cake)  ,카페/주점-카페,(010) 8296-0419,제주 제주시 아라이동 3002-12,4.1,매주 일요일 휴무
제주홍돈 본점  ,한식-생고기/등심,(064) 796-2250,제주 제주시 한림읍 한림리 1590-1,4.0,연중무휴
옥돔식당  ,한식,(064) 794-8833,제주 서귀포시 대정읍 하모리 1067-23,3.7,"첫째 주, 셋째 주 수요일"
여진떡집  ,한식-기타,(064) 721-0504,제주 제주시 이도일동 1436-7,3.9,연중무휴
가파도용궁정식  ,한식-일반한식,(064) 794-7083,제주 서귀포시 대정읍 가파리 71-2,4.0,연중무휴
천해천  ,일반뷔페,(064) 742-1101,제주 제주시 노형동 3813,3.8,연중무휴
미영이네식당  ,한식-해물요리,(064) 792-0077,제주 서귀포시 대정읍 하모리 770-29,4.1,비정기적
곽지박사장네  ,한식-해물요리,(064) 799-2009,제주 제주시 애월읍 곽지리 2068,2.9,수요일휴무
전설의마녀  ,양식,(064) 746-9080,제주 제주시 애월읍 구엄리 606,3.7,수요일 오전 휴무
서귀포흑돼지명가  ,한식-일반한식,(064) 739-7347,제주 서귀포시 호근동 431-8 해운대가든,3.7,연중무휴
부르네전복  ,한식-해물요리,(064) 713-6223,제주 제주시 용담삼동 2576,4.0,연중무휴
고내횟집  ,일식-생선회,(064) 799-6888,제주 제주시 애월읍 고내리 1113,4.1,연중무휴
쉐프의스시이야기  ,일식-초밥/롤전문,(064) 745-7785,제주 제주시 연동 261-9,4.0,월요일
마라도에서온자장면집  ,중식-일반,(070) 7539-7038,제주 서귀포시 안덕면 화순리 775-6,4.0,매주 화요일
미풍해장국 본점  ,한식-일반한식,(064) 758-7522,제주 제주시 삼도이동 143-2,4.0,연중무휴
깡촌흑돼지  ,한식-삼겹살,(064) 784-0787,제주 제주시 조천읍 함덕리 1001,3.2,연중무휴
한라산도야지  ,한식-삼겹살,(064) 783-2811,제주 제주시 구좌읍 세화리 3643-2,4.0,"둘째, 넷째주 월요일"
쇠소깍돌카페  ,카페/주점-카페,(070) 4146-1775,제주 서귀포시 하효동 999,4.0,매주 월요일
용출횟집  ,일식-생선회,(064) 742-9244,제주 제주시 용담삼동 505,4.0,명절
작은부엌  ,한식-한정식,(010) 4699-3179,제주 제주시 조천읍 선흘리 1123,4.1,"매주 일요일, 월요일 휴무"
서귀포회수산마트  ,일식-생선회(활어회전문),(064) 733-8280,제주 서귀포시 서귀동 667-36,3.9,연중무휴
색달식당  ,한식,(064) 738-1741,제주 서귀포시 색달동 2276-5,3.9,연중무휴
수우동  ,일식,(064) 796-5830,제주 제주시 한림읍 협재리 1706-1,4.0,화요일
하늘오름(켄싱턴제주호텔)  ,양식-패밀리레스토랑,(064) 735-8907,제주 서귀포시 색달동 2785,4.0,연중무휴
마농치킨 2호점  ,패스트푸드-치킨,(064) 738-3521,제주 서귀포시 서호동 278-10,4.0,"1, 3주 화요일"
티에라(제주대명리조트)  ,카페/주점-호프,(064) 780-5193,제주 제주시 조천읍 함덕리 274,3.9,연중무휴
웅스키친  ,양식-이탈리아음식,(064) 784-1163,제주 제주시 구좌읍 송당리 1370-3,4.1,수요일휴무
김명자굴국밥 제주본점  ,한식-일반한식,(064) 747-0320,제주 제주시 연동 456,4.3,명절휴무
경미네집(경미휴게소)  ,한식-해물요리,(064) 782-2671,제주 서귀포시 성산읍 성산리 145-4,3.5,화요일휴무
웃뜨르우리돼지  ,한식-일반한식,(064) 772-5992,제주 제주시 한경면 청수리 3260-1,4.1,연중무휴
커큐민흑돼지  ,한식-삼겹살,(064) 784-5671,제주 서귀포시 성산읍 고성리 236,4.0,연중무휴
나목도식당  ,한식-일반한식,(064) 787-1202,제주 서귀포시 표선면 가시리 1877-6,4.0,"매월1,3주수요일"
청정제주마장  ,한식-기타,(064) 787-3662,제주 서귀포시 표선면 표선리 945-1 청정제주마장,3.9,연중무휴
시골길  ,한식-일반한식,(064) 743-1196,제주 제주시 연동 292-36,4.0,"명절, 주말"
시흥해녀의집  ,한식-해물요리,(064) 782-9230,제주 서귀포시 성산읍 시흥리 12-64,4.2,연중무휴
엉클통김밥 노형점  ,한식-일반한식,(064) 755-1951,제주 제주시 노형동 740-1 영화빌딩,3.4,연중무휴
오로섬  ,한식-해물요리,(064) 742-9899,제주 제주시 용담삼동 2317,4.1,명절
현대식당  ,한식-일반한식,(064) 782-3143,제주 서귀포시 성산읍 성산리 360-2,4.1,연중무휴
사형제횟집  ,일식-생선회,(064) 796-8709,제주 제주시 한림읍 대림리 2015,3.9,"둘째, 넷째주 수요일 (7,8,9월 휴무없음)"
버들집  ,일식-생선회,(064) 762-7266,제주 서귀포시 중앙동 273-4,3.8,연중무휴
남궁미락  ,일식-생선회,(064) 762-7587,제주 서귀포시 송산동 726-11,3.5,연중무휴
덕성원  ,중식-일반,(064) 762-2402,제주 서귀포시 서귀동 474,4.0,연중무휴
칠돈가 본점  ,한식-생고기/등심,(064) 727-9092,제주 제주시 용담일동 189-3,3.7,매월2주 수요일
봉추찜닭 제주점  ,한식-닭/오리요리,(064) 757-6981,제주 제주시 이도이동 1185-6,4.0,연중무휴
씨카페  ,뷔페,(064) 730-1040,제주 제주시 연동 2324-6 제주연동롯데시티호텔,3.8,연중무휴
어부지리  ,한식-해물요리,(064) 746-4343,제주 제주시 노형동 2736,4.0,"매월1,3주일요일휴무"
가람돌솥밥  ,한식-일반한식,(064) 738-1200,제주 서귀포시 대포동 747-3,3.5,연중무휴
만세국수 삼성혈점  ,한식-국수전문,(064) 727-7056,제주 제주시 이도이동 1061-2,4.1,연중무휴
제주올레횟집  ,한식-해물요리,(064) 767-4422,제주 서귀포시 서귀동 667-10,3.6,연중무휴
용두암바당회국수  ,한식-국수전문,(064) 711-6754,제주 제주시 용담삼동 1026-3,3.9,연중무휴
진아떡집  ,한식-기타,(064) 757-0229,제주 제주시 일도일동 1141-3,3.7,비정기적 휴무
어등포해녀촌  ,한식-해물요리,(064) 782-7500,제주 제주시 구좌읍 행원리 575-15,3.9,3째주 목
삼다해물뚝배기  ,한식-해물요리,(064) 733-0591,제주 서귀포시 하효동 751-5,3.6,"명절, 격주 월요일"
우진해장국  ,한식,(064) 757-3393,제주 제주시 삼도이동 831,4.0,연중무휴
배롱개  ,한식-국수전문,(064) 784-0030,제주 제주시 구좌읍 월정리 648,4.0,연중무휴
우진해장국  ,한식,(064) 757-3393,제주 제주시 삼도이동 831,4.0,연중무휴
배롱개  ,한식-국수전문,(064) 784-0030,제주 제주시 구좌읍 월정리 648,4.0,연중무휴
카페아프리카  ,카페/주점-카페,(064) 759-4000,제주 제주시 삼양일동 1622 비치조아,3.8,연중무휴
아서원  ,중식-일반,(064) 767-3130,제주 서귀포시 하효동 629-2,3.1,부정기적
섭지코지해녀밥상  ,한식-해물요리,(064) 782-4705,제주 서귀포시 성산읍 고성리 562-1,4.0,연중무휴
바당동네  ,일식-생선회(활어회전문),(064) 732-9255,제주 서귀포시 동홍동 135-2,4.0,연중무휴
애월더선셋  ,카페/주점,(010) 3890-5943,제주 제주시 애월읍 곽지리 1381,4.2,매주 목요일
화통삼 신제주점  ,한식-삼겹살,(064) 748-0419,제주 제주시 연동 261-52,4.0,연중무휴
애월튀김간  ,분식,(064) 799-6351,제주 제주시 애월읍 애월리 1584-1,4.0,비정기적
이드레국수  ,한식-국수전문,(064) 738-8777,제주 서귀포시 색달동 2504,2.9,연중무휴
카페다금바리스타  ,카페/주점-커피전문,(010) 4768-1999,제주 제주시 한경면 고산리 3610-4,4.1,월/화/수요일휴무
더심플카페(THE SIMPLE)  ,카페/주점-카페,(064) 738-3382,제주 서귀포시 서호동 1551-10,3.8,"매주 화,수요일"
망고레이 제주함덕점  ,카페/주점-카페,(064) 784-2443,제주 제주시 조천읍 함덕리 1269-19,4.0,연중무휴
미엘드세화(Miel de Sehwa)  ,카페/주점-카페,(064) 782-6070,제주 제주시 구좌읍 세화리 1476-1,3.9,수요일휴무
"위더스트래블(With us, Travel)  ",카페/주점-카페,(064) 722-0823,제주 제주시 아라일동 6113-16,3.8,연중무휴
선미식당  ,한식-해물요리,(064) 782-4811,제주 서귀포시 성산읍 성산리 189,4.1,연중무휴
두루두루  ,한식-해물요리,(064) 744-9711,제주 제주시 연동 291-10,4.0,명절
낭만팥집  ,카페/주점-카페,(010) 2738-0074,제주 서귀포시 동홍동 92-12,4.1,화요일휴무
지발(JIVAL)  ,양식-경양식,(064) 772-5050,제주 제주시 애월읍 고내리 1213,4.0,연중무휴
월정리로와(LOWA)  ,카페/주점-카페,(064) 783-2240,제주 제주시 구좌읍 월정리 6,3.9,연중무휴
쫑이네해산물  ,한식-해물요리,(064) 782-5880,제주 서귀포시 성산읍 온평리 956-1,4.0,첫째주 셋째주 수요일 휴무
어머니와장독대 서귀포점  ,한식,(064) 762-1233,제주 서귀포시 서홍동 442-19,4.1,-
범일분식  ,한식-일반한식,(064) 764-5069,제주 서귀포시 남원읍 남원리 139-9,4.0,토요일휴무
바람벽에흰당나귀  ,카페/주점-카페,(064) 782-8611,제주 제주시 구좌읍 동복리 1645-1,4.1,연중무휴
야미야미  ,카페/주점-주점,(064) 784-8999,제주 제주시 구좌읍 월정리 501-1,3.9,연중무휴
굿바이폴리(GoodbyePoly)  ,카페/주점-카페,(010) 7103-9724,제주 제주시 조천읍 선흘리 532,3.9,"매주 수요일/매달 마지막주 수요일, 목요일"
오빠밥줘  ,한식-일반한식,(010) 9129-5973,제주 제주시 구좌읍 월정리 13,3.7,비정기적
라테라스(더스위트호텔제주)  ,양식-패밀리레스토랑,(064) 735-9125,제주 서귀포시 색달동 2812-10,4.2,연중무휴
김희선몸국  ,한식,(064) 745-0047,제주 제주시 용담삼동 1129-2,3.9,일요일휴무
문치비  ,한식-생고기/등심,(064) 739-2560,제주 서귀포시 강정동 172-2,4.0,연중무휴
리치망고 애월본점  ,카페/주점-카페,(070) 4243-5959,제주 제주시 애월읍 고내리 474-1,4.1,연중무휴
봉쉡망고  ,카페/주점-카페,(064) 782-7007,제주 제주시 구좌읍 월정리 541,3.4,연중무휴
오조삼춘  ,일식,(010) 4505-3396,제주 서귀포시 성산읍 오조리 724-1,3.6,둘째 넷째 일요일
무진장식당  ,한식,(064) 712-6881,제주 제주시 오라일동 2442-10,4.1,"첫째주, 셋째주 월요일 휴무"
솔향흑돼지  ,한식-삼겹살,(064) 799-9232,제주 제주시 애월읍 곽지리 1380,3.2,연중무휴
카페귤꽃  ,카페/주점-카페,(064) 784-2012,제주 제주시 조천읍 함덕리 3527-1,4.4,매주 목요일
마고(MARGAUX) 해비치리조트  ,베이커리,(064) 780-8387,제주 서귀포시 표선면 표선리 40-76,4.0,연중무휴
마두천손칼국수  ,한식-국수전문,(064) 711-9288,제주 제주시 용담이동 940-15,4.1,수요일휴무
황금무지개  ,일식-초밥/롤전문,(064) 752-2233,제주 제주시 삼양일동 1599-24,4.0,수요일휴무
제주할망뚝배기  ,한식-일반한식,(064) 733-9934,제주 서귀포시 서귀동 669-4,3.9,매주 화요일
낙지마당  ,한식-해물요리,(064) 738-1524,제주 서귀포시 서호동 1462-2,4.2,"2,4째 일요일"
녹차고을  ,한식,(064) 712-1780,제주 제주시 애월읍 하귀1리 235-5,3.8,연중무휴
라꼼마(La Comma)  ,양식-이탈리아음식,(064) 767-5060,제주 서귀포시 동홍동 2025-2,4.3,매주 일요일 휴무
순옥이네명가  ,한식,(064) 712-3434,제주 제주시 도두일동 2615-5,3.8,명절
광명식당  ,한식-일반한식,(064) 757-1872,제주 제주시 일도일동 1103,4.2,연중무휴
황금륭버거 본점  ,패스트푸드-햄버거(수제빅버거전문),(064) 773-0097,제주 서귀포시 대정읍 신도리 11,3.9,연중무휴
아라파파(à la papa)  ,베이커리,(064) 725-8204,제주 제주시 연동 1523,3.7,연중무휴
어진이네  ,한식-일반한식,(064) 732-7442,제주 서귀포시 보목동 261,3.7,"1,3째 주 화요일"
도도닭강정  ,패스트푸드-기타,(064) 733-4709,제주 서귀포시 서귀동 296-13,4.2,연중무휴
착한튀김  ,분식,(064) 723-3392,제주 제주시 화북일동 1973-20,4.1,매주 일요일 휴무
다이아몬드(제주부영리조트)  ,양식-경양식,(064) 731-5522,제주 서귀포시 중문동 2700-2,4.1,연중무휴
비스트로리틀이태리  ,양식-경양식,(064) 787-8284,제주 서귀포시 표선면 표선리 1-2,4.0,연중무휴
몽상드애월  ,카페/주점-카페,(064) 799-8900,제주 제주시 애월읍 애월리 2546,3.5,연중무휴
더파크뷰(제주신라호텔)  ,호텔뷔페,(064) 735-5334,제주 서귀포시 색달동 3039-3,4.0,연중무휴
석다원  ,한식,(064) 784-2329,제주 제주시 구좌읍 하도리 473,3.7,연중무휴
오는정김밥  ,한식-기타(김밥전문),(064) 762-8927,제주 서귀포시 서귀동 254-6,3.2,일요일휴무
제주슬로비  ,한식-기타,(064) 799-5535,제주 제주시 애월읍 애월리 1587 애월리사무소 복지회관 1층,3.9,매주 화요일 휴무
벽돌집  ,한식-삼겹살,(070) 4318-8108,제주 제주시 이도이동 1766-6,4.3,연중무휴
중문랜드프리미엄뷔페  ,일반뷔페,(064) 738-7997,제주 서귀포시 상예동 2802 중문랜드빌딩 2층,3.4,연중무휴
백성원해장국  ,한식-찌개전문,(064) 724-0792,제주 제주시 이도이동 1176-114,4.3,매주 일요일
파크가든  ,한식,(064) 786-1320,제주 제주시 회천동 3-16,3.9,연중무휴
만조이천쌀밥 제주성산점  ,한식-일반한식,(064) 784-9793,제주 서귀포시 성산읍 성산리 168-8,4.3,"둘째, 넷째주 일요일"
이조은식당  ,한식-일반한식,(064) 738-7123,제주 서귀포시 색달동 2476-3,3.4,연중무휴
모도락(제주디아일랜드마리나)  ,한식-삼겹살,(064) 782-9551,제주 서귀포시 서귀동 544-2,3.7,연중무휴
솔피쉬(SOL FISH)  ,양식-기타,(064) 733-5567,제주 서귀포시 서귀동 553-4,3.7,연중무휴
항구식당  ,한식-해물요리(자리 전문점),(064) 794-2254,제주 서귀포시 대정읍 하모리 770-4,4.0,부정기적
흑돈가 제주본점  ,한식-삼겹살,(064) 747-0088,제주 제주시 노형동 3811,4.0,연중무휴
식후경  ,한식-해물요리,(064) 794-7444,제주 서귀포시 대정읍 상모리 133-13,4.0,연중무휴
민트(휘닉스아일랜드)  ,양식-패밀리레스토랑,(064) 731-7773,제주 서귀포시 성산읍 고성리 182,4.1,연중무휴
플레이커피랩(play coffee lab)  ,카페/주점-커피전문,(010) 5293-0207,제주 서귀포시 서귀동 257-13 1층,4.2,"둘째주, 넷째주 월요일 휴무"
옐로우564(Yellow564)  ,한식-일반한식,(064) 773-5640,제주 제주시 한경면 저지리 2969-1,4.3,매주 일요일
제주명가두루치기  ,한식-해물요리,(064) 763-2272,제주 서귀포시 서귀동 316-5,4.1,연중무휴
까사델소니도 노형점  ,카페/주점-카페,(064) 711-6977,제주 제주시 노형동 3788-12,4.0,연중무휴
남춘식당  ,한식-국수전문,(064) 702-2588,제주 제주시 이도이동 379-3,3.6,일요일휴무
탐라가든  ,한식-갈비,(064) 726-1300,제주 제주시 삼도이동 632-7,3.9,둘째 주 월요일
웅담식당  ,한식-생고기/등심,(064) 762-6442,제주 서귀포시 서귀동 385-3,3.6,명절
올래국수  ,한식-국수전문,(064) 742-7355,제주 제주시 연동 301-19,4.2,일요일휴무
연화몽  ,한식-냉면,(064) 799-7765,제주 제주시 한림읍 동명리 1680-2,4.0,연중무휴
산양산삼해물라면 제주도본점  ,한식-해물요리,(064) 711-6152,제주 제주시 이호일동 1785,4.0,연중무휴
메종드쁘띠프루  ,베이커리,(064) 702-0919,제주 제주시 아라이동 3001-19,3.8,매주 일요일
주비's(JUBI's)  ,카페/주점-카페,(010) 6368-7676,제주 제주시 이호일동 634-3,4.0,연중무휴
등대와바당  ,한식-해물요리,(064) 743-0551,제주 제주시 도두일동 2614-4,3.3,명절
다래향 본점  ,중식-일반,(064) 782-9466,제주 제주시 조천읍 함덕리 3132-1,4.0,월요일휴무
서광춘희  ,기타/세계-퓨전푸드,(064) 792-8911,제주 서귀포시 안덕면 서광리 141-10,3.9,화
무인카페 산책  ,카페/주점-카페(무인카페),(010) 7625-7711,제주 제주시 애월읍 고내리 1155,4.1,연중무휴
그리다&쿡  ,양식,(064) 751-2245,제주 제주시 이도이동 1185-14,4.0,매주 월요일 휴무
하르방밀면  ,한식-국수전문,(064) 712-5000,제주 제주시 노형동 2514-8,3.6,연중무휴
곱들락  ,한식-삼겹살,(064) 783-0992,제주 제주시 조천읍 함덕리 951-1,3.9,매주 화
돌하르방식당  ,한식,(064) 752-7580,제주 제주시 일도이동 320-14,4.2,공휴일
밥깡패  ,양식-이탈리아음식,(064) 799-8188,제주 제주시 한림읍 한림리 1534-6,4.4,"매주 월,일요일"
제주삼다국수  ,한식-국수전문,(064) 739-3167,제주 서귀포시 서호동 1476-7,3.9,매주 일요일
월정리에서브런치  ,카페/주점-카페,(064) 782-2262,제주 제주시 구좌읍 월정리 551,3.9,연중무휴
제주해물이야기  ,한식-해물요리,(064) 794-0058,제주 서귀포시 대정읍 상모리 133 2층,4.0,연중무휴
